metric,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
N(visits),4670.0,4670.0,4670.0,4670.0,1573113.0
N(patients),4606.0,4178.0,4592.0,4137.0,434152.0
N_V02,< 10,< 10,< 10,< 10,< 10
%_V02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_O30,< 10,< 10,< 10,< 10,2559.0
%_O30,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.16%
N_E78,64.0,203.0,60.0,197.0,19707.0
%_E78,1.37%,4.35%,1.28%,4.22%,1.25%
N_X08,< 10,< 10,< 10,< 10,< 10
%_X08,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S62,< 10,< 10,< 10,< 10,1583.0
%_S62,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.1%
N_Z69,< 10,< 10,< 10,< 10,< 10
%_Z69,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M95,< 10,< 10,< 10,< 10,195.0
%_M95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C4A,< 10,< 10,< 10,< 10,74.0
%_C4A,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_E06,< 10,< 10,< 10,< 10,679.0
%_E06,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_L13,< 10,< 10,< 10,< 10,< 10
%_L13,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M16,< 10,< 10,< 10,< 10,2128.0
%_M16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.14%
N_P07,< 10,< 10,< 10,< 10,638.0
%_P07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_S44,< 10,< 10,< 10,< 10,18.0
%_S44,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q67,< 10,< 10,< 10,< 10,483.0
%_Q67,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_N34,< 10,< 10,< 10,< 10,80.0
%_N34,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_F32,10.0,40.0,13.0,34.0,2841.0
%_F32,< 0.21%,0.86%,0.28%,0.73%,0.18%
N_I10,97.0,413.0,79.0,433.0,32379.0
%_I10,2.08%,8.84%,1.69%,9.27%,2.06%
N_Q98,< 10,< 10,< 10,< 10,10.0
%_Q98,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Z83,< 10,< 10,< 10,< 10,211.0
%_Z83,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M11,< 10,< 10,< 10,< 10,66.0
%_M11,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D83,< 10,< 10,< 10,< 10,96.0
%_D83,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C03,< 10,< 10,< 10,< 10,24.0
%_C03,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L95,< 10,< 10,< 10,< 10,< 10
%_L95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_O99,< 10,21.0,14.0,21.0,4234.0
%_O99,< 0.21%,0.45%,0.3%,0.45%,0.27%
N_F29,< 10,< 10,< 10,< 10,514.0
%_F29,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_K92,< 10,38.0,< 10,35.0,2105.0
%_K92,< 0.21%,0.81%,< 0.21%,0.75%,0.13%
N_H46,< 10,< 10,< 10,< 10,93.0
%_H46,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M83,< 10,< 10,< 10,< 10,12.0
%_M83,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_O35,< 10,< 10,13.0,< 10,3893.0
%_O35,< 0.21%,< 0.21%,0.28%,< 0.21%,0.25%
N_T17,< 10,< 10,< 10,< 10,334.0
%_T17,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_I20,< 10,22.0,< 10,15.0,2184.0
%_I20,< 0.21%,0.47%,< 0.21%,0.32%,0.14%
N_E24,< 10,< 10,< 10,< 10,66.0
%_E24,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T37,< 10,< 10,< 10,< 10,< 10
%_T37,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R36,< 10,< 10,< 10,< 10,62.0
%_R36,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_P24,< 10,< 10,< 10,< 10,27.0
%_P24,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_H10,< 10,< 10,< 10,< 10,423.0
%_H10,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_H33,< 10,< 10,< 10,< 10,230.0
%_H33,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Q02,< 10,< 10,< 10,< 10,49.0
%_Q02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D75,< 10,< 10,< 10,< 10,858.0
%_D75,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_L58,< 10,< 10,< 10,< 10,19.0
%_L58,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B69,< 10,< 10,< 10,< 10,< 10
