feature,importance,wasserstein_distance_training,wasserstein_distance_eval,wasserstein_distance_all_visits
R06,0.0649843132368545,0.4601729269278878,0.46404716783904354,0.5074136873958478
R09,0.0628085236883957,0.45101778146555355,0.43546925511170725,0.47184571652469726
2020-04-01,0.0543317626925099,0.4353442683537799,0.4370537680572136,0.4209260198004161
R05,0.0259334693934966,0.44584236209552847,0.4293034916928596,0.5159827909909339
J12,0.0235953053398881,0.49786882610448624,0.4777445666058426,0.6738125030850741
Z01,0.0233502678941372,0.2968950783732742,0.3009257449257379,0.4269849744325133
Z94,0.0228807322878005,0.30657989826428456,0.31445677903434965,0.4175182762547206
R50,0.0195409767063966,0.4400114526808866,0.4169069831882707,0.5088991901076111
J96,0.0176263468116124,0.5021537731171102,0.49201740991965465,0.6075983651437459
WHITE,0.0148443510716948,-0.0572883352394997,-0.06154308943417134,-0.007866571212368272
2021-06-01,0.0147883884209252,-0.38712949103148914,-0.3630089451997184,-0.20066088962979817
HISPANIC OR LATINO OR SPANISH ORIGIN,0.0141370027054598,0.09202583316916828,0.08989272770973879,0.028685864284323077
sex_1,0.0141317815929504,-0.07106489092175061,-0.07586169128122618,-0.01869359725878916
2021-07-01,0.0130448499071771,-0.37801991419429115,-0.3570065032266446,-0.186810796618343
2021-08-01,0.0126223283819408,-0.34319940427652573,-0.364297510956614,-0.17215435028467646
2021-09-01,0.0116848470918124,-0.3438513184391123,-0.3265846911375941,-0.1825791412385806
2020-02-01,0.0115239790004676,-0.3902535479427792,-0.3220556961191666,-0.1220990288138022
2021-10-01,0.011239453534283,-0.3538714736841949,-0.3585976439595685,-0.18553138547354225
E11,0.0105768515929474,0.402933290326878,0.39494557413343706,0.4328961049667845
N17,0.0103766726703722,0.4751001007147272,0.46998359046099125,0.5350285316771111
I10,0.0102273811519233,0.32186916152124523,0.32319501684638274,0.3332975030803366
R07,0.0099049303136994,0.29908271727664637,0.27918980244912284,0.3351213643620798
BLACK OR AFRICAN AMERICAN,0.0096412945431337,0.03372710240845822,0.023284391746059962,0.010272797279420771
Z20,0.0094113203734484,0.39300530731657957,0.3755936324366332,0.46114145374665716
I50,0.0089272807928736,0.34139657889236436,0.31435660086203954,0.3881620002239372
R53,0.0086297328384022,0.40212236123213485,0.3844557661121782,0.46112740170630173
age_senior,0.0086171257086632,0.08322979302352457,0.08238537464692477,0.016559931928024314
R00,0.0082182979454235,0.331940294802187,0.3313833671683324,0.33178305065913793
age_adult,0.0080658839817683,-0.051535929933465625,-0.05165269430228498,0.016380809440632534
J18,0.0080002144176587,0.4689298558480247,0.45865936789877015,0.5506474695637389
2020-03-01,0.0077275092513331,0.23677754846893256,0.26133217051736635,0.1563028422864795
Z79,0.0075036073080693,0.3159586238371391,0.331130970754818,0.40637028498833744
J80,0.0073793482112491,0.4840439915764911,0.46240162324585427,0.6588390368950149
N18,0.0072710621654882,0.3553466307627195,0.34661502490825624,0.39070230039344467
E87,0.0070782108752201,0.4500691565207397,0.4474019049686155,0.4766228759795994
2021-05-01,0.0070312771782347,-0.28312452943142,-0.30760115900068524,-0.17388630590693474
I25,0.0065632424751921,0.21964325534124232,0.2614356772956278,0.3132523322414297
J45,0.0064960765016687,0.38895202385804023,0.34417289663267125,0.41632593046077826
2020-05-01,0.0064945257314784,0.1717989772327174,0.1427946967834781,0.14574429202358263
2020-12-01,0.0059695394540082,0.08659372689157892,0.07080746659132271,0.12596021977082456
2021-01-01,0.0057260091687027,0.12239445238822769,0.1444676621657484,0.1292619782962825
J06,0.0057023426184159,0.43172854302402774,0.3730764114504883,0.3451894881882138
2021-02-01,0.0053380671257991,0.131092449491838,0.11472947734007138,0.11740151828795159
2021-11-01,0.0049991118952299,-0.2529989309379341,-0.28877487281994474,-0.13179129405897627
Z78,0.0049986390508864,0.4010405127821492,0.3799405301805623,0.3845009934069974
T86,0.0049918636561485,0.3299733573615973,0.3301208733230491,0.4304555078146507
Z34,0.0048119661605026,-0.08410917496108809,-0.09948249924525773,0.08372819341100086
D84,0.0047375504400201,0.37114459108962466,0.34421092898198646,0.4712337221865672
2021-03-01,0.0044594484454007,0.05170738460470931,0.07424142702462083,0.08634909553471867
age_child,0.0043196830035714,-0.1068233701033509,-0.102747789722231,-0.035579279654924446
R41,0.0042319177073052,0.40453214021047673,0.3742715777599588,0.3788199512539272
2020-11-01,0.0041640186657329,-0.0926892534466315,0.07138303768395185,0.07836686608475257
2020-07-01,0.0041634698227136,-0.10741089201451245,-0.08427794032396094,0.10322261689586101
2020-10-01,0.0041034959183946,-0.13017955045401106,-0.10928625375148229,0.07338664552210751
2020-09-01,0.0040368167461407,-0.14704550688087395,-0.11171216861038713,0.06153530563795344
2020-06-01,0.0039898497608068,0.062411770301713125,0.08176903442432996,0.08995981445919654
E78,0.0037894290059289,0.2639399379579379,0.24452451124829971,0.3000648016852026
O98,0.003767014778573,0.3806836094963675,0.27738508918106547,0.4667476997848585
I48,0.0036583334278481,0.22199267853877735,0.22793229708077203,0.1971184329356434
2020-08-01,0.0036240597036337,-0.09991113989990902,-0.08991827974457026,0.10767854610907478
2021-04-01,0.0033480396670941,-0.11326154249465537,-0.11643545581142108,-0.07479504211951844
A41,0.0032761872297454,0.4408321047140773,0.4502251619987937,0.5161596914069758
R91,0.003164981137464,0.20933395872290317,0.21132511063151643,0.27674970810933885
J84,0.0030877449260094,0.3041935333024004,0.2832425149076781,0.4012125384290543
Z86,0.0030383024119803,0.3193214415198121,0.22415957764211072,0.30771909842629863
E66,0.0029885820568376,0.2921227974874695,0.322425249885941,0.2809337533886655
R10,0.0029240477588937,0.13569906131515308,0.17412051081319516,0.13935436377628732
ASIAN,0.0028528151184971,0.02044253557697326,0.021364144953344218,0.01802451474059942
Z95,0.002842684170173,0.1523136215196135,0.1489288350527469,0.18433621179574594
R94,0.0025412851169277,0.27796657058845425,0.3108813183884693,0.2968413200972897
R11,0.0025217285161957,0.2832478406498978,0.27967106128717606,0.29783868832700033
R73,0.0024132147845495,0.4006502309005626,0.339650350857047,0.37220978120640774
M25,0.0024114939900166,-0.028394626827046368,0.0470874155115467,0.03161414373946142
Z98,0.0023576568406832,0.10004982984910148,0.0739194729846564,0.10541688635470324
O09,0.0023382535013735,0.0762958415082247,-0.1141225338544858,0.1141842647669218
I42,0.0023361958943575,0.27211538675342306,0.17966876404364296,0.2819248707504264
B34,0.0023061245226241,0.24524745857325872,0.24647341124127503,0.21074957780461942
M30,0.002258973527429,0.4084228527880362,0.3157505528516876,0.46606511506615017
age_adol,0.002246143100758,-0.0676293038937969,-0.09536575522596515,-0.02709043371150152
2021-12-01,0.0022217112850002,-0.10095068255860735,-0.14749452321850934,0.08581690708742155
N39,0.0022000936106353,0.3511129789157627,0.36243303405932475,0.3324142790545428
Z00,0.0021892833797349,0.14461245339955522,0.17491143527030775,0.12577612735839422
I82,0.0021883345490893,0.4246710534505932,0.3555471184421216,0.3363775897306133
R42,0.0021643866944712,0.2307139507026955,0.2525378385284441,0.2840381397650698
