category,phenotype,phe_code,all_1_year_cases,all_1_year_noncases,all_1_year_hazards ratio,all_1_year_95% confidence interval (lower),all_1_year_95% confidence interval (upper),all_1_year_pvalue,new_1_year_cases,new_1_year_noncases,new_1_year_hazards ratio,new_1_year_95% confidence interval (lower),new_1_year_95% confidence interval (upper),new_1_year_pvalue
circulatory system,Rheumatic disease of the heart valves,394.0,553.0,525181.0,4.42095299475474,1.9724626063872144,9.90884456746657,0.00030667825453156646,553.0,521351.0,4.447158863466058,1.9849370874957488,9.963651785989954,0.0002881613656859928
circulatory system,Mitral valve disease,394.2,20638.0,522069.0,5.653720114488803,4.889523002428714,6.537355712837004,6.77113553573895e-121,20638.0,486816.0,6.0407976138921775,5.2266523173817925,6.981760713382428,5.762004160770952e-131
circulatory system,Aortic valve disease,394.3,9337.0,523600.0,5.173913355282022,4.231457468204343,6.3262787370814575,9.18602713179926e-58,9337.0,506457.0,5.238246667829152,4.286069844825678,6.401955438535141,7.152608272720957e-59
circulatory system,Acute rheumatic heart disease,394.4,685.0,525213.0,7.159544284441812,2.759451199593653,18.57582202157865,5.19676865353086e-05,685.0,523249.0,7.183896783888596,2.7691701971916864,18.6367645635876,5.0330172034717805e-05
circulatory system,Disease of tricuspid valve,394.7,6255.0,524571.0,1.5030299249848982,1.0790756846335818,2.0935500517437973,0.015948483574746104,6255.0,518800.0,1.5213313442326666,1.0923859977399772,2.1187099282974198,0.013033626918376253
circulatory system,Heart valve disorders,395.0,50.0,525280.0,10.665939087495522,0.489124747070337,232.58331805854343,0.13227047571116407,50.0,524433.0,10.705176984266558,0.4909714765309924,233.41644014473883,0.13165930555982702
circulatory system,Nonrheumatic mitral valve disorders,395.1,17365.0,522385.0,5.682539447401938,4.876855279157483,6.621327212493726,7.004215721447725e-110,17365.0,488358.0,6.056265582386522,5.200151686498607,7.053323636621841,1.090447454288496e-118
circulatory system,Nonrheumatic aortic valve disorders,395.2,2508.0,524861.0,5.131523116258153,3.4390876648243687,7.656835782939126,1.1527452561541754e-15,2508.0,517004.0,5.129688861513628,3.439829352513673,7.649713145423364,1.0649807475758281e-15
circulatory system,Nonrheumatic tricuspid valve disorders,395.3,4327.0,524515.0,28.991168193923865,21.589980529385237,38.92953178463637,5.131489667713077e-111,4327.0,505354.0,31.06541792414759,23.139022919880954,41.70704156971012,1.1055027446140775e-115
circulatory system,Nonrheumatic pulmonary valve disorders,395.4,1387.0,525037.0,1.0335225675926047,0.5810255948998921,1.8384196963083024,0.9106565155850763,1387.0,512522.0,1.0477367111872244,0.5895493966085251,1.8620190645337136,0.8737126483863317
circulatory system,Heart valve replaced,395.6,19938.0,522750.0,5.508950365884558,4.67581484228541,6.490533769499323,1.7952773394589184e-92,19938.0,508659.0,5.668369936238713,4.811700079674418,6.677560363701838,1.1602153186807845e-95
circulatory system,Abnormal heart sounds,396.0,4605.0,524312.0,2.026349836458664,1.535824960362149,2.673542731554404,5.912118235768671e-07,4605.0,493418.0,2.1178584429265177,1.6056176454003224,2.7935196135421307,1.086626157169208e-07
circulatory system,Essential hypertension,401.1,219991.0,504454.0,51.48094316990607,48.582686719884656,54.55209846552905, < 2.225E-308,219991.0,295266.0,85.31751494238746,80.43092690795841,90.50098806239498, < 2.225E-308
circulatory system,Hypertensive heart and/or renal disease,401.2,404.0,525241.0,114.81023497629212,31.524948666283446,418.125662783685,6.349198665041806e-13,404.0,504854.0,130.0131345300045,35.61371815537022,474.63213687976486,1.7367552862064077e-13
circulatory system,Hypertensive heart disease,401.21,2984.0,524562.0,35.63821192601249,26.240689568794327,48.4012489821827,7.328690822579403e-116,2984.0,490479.0,40.57696225665519,29.879244802113444,55.1048019078969,2.431463268957295e-124
circulatory system,Hypertensive chronic kidney disease,401.22,5141.0,524857.0,71.90699906383453,47.700406704019095,108.39774483370682,1.195559916671985e-92,5141.0,479908.0,94.07879398312517,62.42741725616066,141.77776154027677,1.448993499740068e-104
circulatory system,Other hypertensive complications,401.3,13676.0,524406.0,43.42431803992736,32.81931147795271,57.456153475355926,1.5063198241169083e-153,13676.0,508247.0,46.77749347299038,35.35260913893601,61.894551743444886,1.4883835732692778e-159
